kg_id,match_score,external_title,decision
KG-1715,100,Buddha Shakyamuni,skipped: KG-# already enriched from earlier source
KG-1072,100,Pietra-Dura inlaid marble games table,skipped: KG-# already enriched from earlier source
KG-1715,100,Buddha Shakyamuni,skipped: KG-# already enriched from earlier source
KG-1008,100,Bodhisattva,skipped: KG-# already enriched from earlier source
KG-1075,100,Five-pointed spear,skipped: KG-# already enriched from earlier source
KG-1738,100,Arhat Kanakavatsa,skipped: KG-# already enriched from earlier source
KG-1671,100,Brahma with Devotees,skipped: KG-# already enriched from earlier source
KG-1076,100,Illustration to a Rasikapriya series: Beauty of Radha,skipped: KG-# already enriched from earlier source
KG-1077,100,A Prince with a Falcon,skipped: KG-# already enriched from earlier source
KG-1078,100,A Raja and His Courtiers Playing Chaupar,skipped: KG-# already enriched from earlier source
KG-1127,100,An equestrian portrait of Maharana Bhim Singh of Mewar,skipped: KG-# already enriched from earlier source
KG-1008,100,A gray schist head of a bodhisattva,skipped: KG-# already enriched from earlier source
KG-1080,98,A bronze figure of Sambandhar,skipped: KG-# already enriched from earlier source
KG-1081,100,A small bronze figure of Vajrasattva,skipped: KG-# already enriched from earlier source
,0,NO\_HEADER,no match >= threshold
KG-1082,100,Illustration to the Bhagavata Purana: Pradyumna Weds Rukmavati,"merged: provenance,physical_location,acquired_from,publications_and_exhibitions,image.alternates"
KG-1083,100,Radha Watching the Approaching Storm,"merged: physical_location,publications_and_exhibitions,image.alternates"
,0,Drawer 6,no match >= threshold
KG-1001,100,A painting of a composite horse and rider,skipped: KG-# already enriched from earlier source
KG-1084,100,A black stone bust of Buddha,skipped: KG-# already enriched from earlier source
